TIME,MAX,MIN,OTHER
20140801 000539683,1.100412655,1.100049502,0
20140801 000546683,1.100388437,1.100025301,0
20140801 000546933,1.100376329,1.1000132,0
20140801 000547183,1.100388437,1.100025301,0
20140801 000547933,1.100376329,1.1000132,0
20140801 000552697,1.100388437,1.100025301,0
20140801 000554197,1.100400546,1.100037401,0
20140801 000620197,1.100412655,1.100049502,0
20140801 000621697,1.100388437,1.100025301,0
20140801 000622197,1.100376329,1.1000132,0
20140801 000623197,1.100364221,1.1000011,0
20140801 000626447,1.100376329,1.1000132,0
20140801 000651697,1.100388437,1.100025301,0
20140801 000700197,1.100400546,1.100037401,0
20140801 000742197,1.100412655,1.100049502,0
20140801 000749197,1.100388437,1.100025301,0
20140801 000750197,1.100376329,1.1000132,0
20140801 000750947,1.100400546,1.100037401,0
20140801 000751197,1.100376329,1.1000132,0
20140801 000751697,1.100364221,1.1000011,0
20140801 000757947,1.100376329,1.1000132,0
20140801 000758197,1.100364221,1.1000011,0
20140801 000800197,1.100376329,1.1000132,0
20140801 000803197,1.100400546,1.100037401,0
20140801 000803447,1.100388437,1.100025301,0
20140801 000804447,1.100376329,1.1000132,0
20140801 000805447,1.100400546,1.100037401,0
20140801 000806447,1.100388437,1.100025301,0
20140801 000806697,1.100376329,1.1000132,0
20140801 000807197,1.100364221,1.1000011,0
20140801 000814697,1.100376329,1.1000132,0
20140801 000848930,1.100400546,1.100037401,0
20140801 000849180,1.100412655,1.100049502,0
20140801 000901447,1.100388437,1.100025301,0
20140801 000901680,1.100364221,1.1000011,0
20140801 000903180,1.100352113,1.099989,0
20140801 000904180,1.100364221,1.1000011,0
20140801 000904430,1.100352113,1.099989,0
20140801 000932430,1.100340005,1.0999769,0
20140801 000933930,1.100327898,1.099964801,0
20140801 001000430,1.100340005,1.0999769,0
20140801 001000680,1.100327898,1.099964801,0
20140801 001001180,1.100315791,1.099952702,0
20140801 001002180,1.100303684,1.099940603,0
20140801 001014180,1.100315791,1.099952702,0
20140801 001043930,1.100327898,1.099964801,0
20140801 001119180,1.100340005,1.0999769,0
20140801 001135430,1.100315791,1.099952702,0
20140801 001158180,1.100303684,1.099940603,0
20140801 001200680,1.100291577,1.099928505,0
20140801 001205180,1.100327898,1.099964801,0
20140801 001240430,1.100315791,1.099952702,0
20140801 001334930,1.100340005,1.0999769,0
20140801 001343180,1.100400546,1.100037401,0
20140801 001353680,1.100340005,1.0999769,0
20140801 001354680,1.100352113,1.099989,0
20140801 001404680,1.100327898,1.099964801,0
20140801 001439430,1.100315791,1.099952702,0
20140801 001444430,1.100303684,1.099940603,0
20140801 001526177,1.100315791,1.099952702,0
20140801 001526443,1.100327898,1.099964801,0
20140801 001534427,1.100315791,1.099952702,0
20140801 001534677,1.100303684,1.099940603,0
20140801 001534927,1.100291577,1.099928505,0
20140801 001535177,1.100279471,1.099916406,0
20140801 001538693,1.100291577,1.099928505,0
20140801 001539427,1.100303684,1.099940603,0
20140801 001601427,1.100291577,1.099928505,0
20140801 001602177,1.100303684,1.099940603,0
20140801 001602927,1.100315791,1.099952702,0
20140801 001603927,1.100327898,1.099964801,0
20140801 001604927,1.100315791,1.099952702,0
20140801 001608927,1.100303684,1.099940603,0
20140801 001609427,1.100291577,1.099928505,0
20140801 001638443,1.100315791,1.099952702,0
20140801 001651443,1.100303684,1.099940603,0
20140801 001652443,1.100291577,1.099928505,0
20140801 001721177,1.100303684,1.099940603,0
20140801 001721443,1.100315791,1.099952702,0
20140801 001750443,1.100303684,1.099940603,0
20140801 001750943,1.100291577,1.099928505,0
20140801 001751443,1.100303684,1.099940603,0
20140801 001751693,1.100291577,1.099928505,0
20140801 001751943,1.100303684,1.099940603,0
20140801 001752193,1.100291577,1.099928505,0
20140801 001759193,1.100279471,1.099916406,0
20140801 001759443,1.100291577,1.099928505,0
20140801 001759943,1.100279471,1.099916406,0
20140801 001807193,1.100291577,1.099928505,0
20140801 001807443,1.100279471,1.099916406,0
20140801 001811693,1.100291577,1.099928505,0
20140801 001816193,1.100303684,1.099940603,0
20140801 001816693,1.100291577,1.099928505,0
20140801 001817693,1.100303684,1.099940603,0
20140801 001818193,1.100291577,1.099928505,0
20140801 001819693,1.100303684,1.099940603,0
20140801 001845193,1.100291577,1.099928505,0
20140801 001851943,1.100279471,1.099916406,0
20140801 002016193,1.100291577,1.099928505,0
20140801 002036677,1.100279471,1.099916406,0
20140801 002042427,1.100291577,1.099928505,0
20140801 002043927,1.100279471,1.099916406,0
20140801 002111427,1.100291577,1.099928505,0
20140801 002133177,1.100279471,1.099916406,0
20140801 002213690,1.100291577,1.099928505,0
20140801 002229190,1.100279471,1.099916406,0
20140801 002237190,1.100291577,1.099928505,0
20140801 002237690,1.100279471,1.099916406,0
20140801 002237940,1.100291577,1.099928505,0
20140801 002248940,1.100279471,1.099916406,0
20140801 002343190,1.100291577,1.099928505,0
