TIME,MIN,MAX,OTHER
20140801 001724193,0.929250,0.929450,0
20140801 001724443,0.929240,0.929440,0
20140801 001724693,0.929230,0.929430,0
20140801 001724943,0.929220,0.929420,0
20140801 001725193,0.929200,0.929400,0
20140801 001725443,0.929190,0.929390,0
20140801 001725693,0.929200,0.929400,0
20140801 001727443,0.929190,0.929390,0
20140801 001733943,0.929210,0.929410,0
20140801 001734193,0.929220,0.929420,0
20140801 001734693,0.929210,0.929410,0
20140801 001735943,0.929190,0.929390,0
20140801 001736193,0.929200,0.929400,0
20140801 001740193,0.929210,0.929410,0
20140801 001740443,0.929240,0.929440,0
20140801 001740693,0.929230,0.929430,0
20140801 001743443,0.929210,0.929410,0
20140801 001746193,0.929230,0.929430,0
20140801 001747943,0.929210,0.929410,0
20140801 001748193,0.929220,0.929420,0
20140801 001748443,0.929210,0.929410,0
20140801 001752693,0.929190,0.929390,0
20140801 001752943,0.929180,0.929380,0
20140801 001753193,0.929190,0.929390,0
20140801 001754693,0.929210,0.929410,0
20140801 001754943,0.929220,0.929420,0
20140801 001755193,0.929210,0.929410,0
20140801 001802943,0.929220,0.929420,0
20140801 001803693,0.929210,0.929410,0
20140801 001807443,0.929220,0.929420,0
20140801 001817693,0.929230,0.929430,0
20140801 001817943,0.929220,0.929420,0
20140801 001818193,0.929230,0.929430,0
20140801 001818443,0.929220,0.929420,0
20140801 001818693,0.929230,0.929430,0
20140801 001826693,0.929220,0.929420,0
20140801 001826943,0.929230,0.929430,0
20140801 001827693,0.929220,0.929420,0
20140801 001833193,0.929230,0.929430,0
20140801 001833443,0.929220,0.929420,0
20140801 001834207,0.929230,0.929430,0
20140801 001834943,0.929220,0.929420,0
20140801 001835193,0.929230,0.929430,0
20140801 001835693,0.929220,0.929420,0
20140801 001838693,0.929230,0.929430,0
20140801 001838943,0.929220,0.929420,0
20140801 001841193,0.929200,0.929400,0
20140801 001841443,0.929180,0.929380,0
20140801 001844943,0.929190,0.929390,0
20140801 001848443,0.929240,0.929440,0
20140801 001854693,0.929200,0.929400,0
20140801 001854943,0.929190,0.929390,0
20140801 001856693,0.929240,0.929440,0
20140801 001857193,0.929230,0.929430,0
20140801 001900443,0.929240,0.929440,0
20140801 001900943,0.929230,0.929430,0
20140801 001901193,0.929240,0.929440,0
20140801 001903193,0.929250,0.929450,0
20140801 001910443,0.929240,0.929440,0
20140801 001914693,0.929250,0.929450,0
20140801 001914943,0.929260,0.929460,0
20140801 001915193,0.929250,0.929450,0
20140801 001915443,0.929260,0.929460,0
20140801 001915693,0.929270,0.929470,0
20140801 001923443,0.929280,0.929480,0
20140801 001923693,0.929310,0.929510,0
20140801 001923943,0.929330,0.929530,0
20140801 001924193,0.929310,0.929510,0
20140801 001924443,0.929340,0.929540,0
20140801 001924943,0.929330,0.929530,0
20140801 001925943,0.929310,0.929510,0
20140801 001926193,0.929290,0.929490,0
20140801 002001193,0.929300,0.929500,0
20140801 002001693,0.929330,0.929530,0
20140801 002001943,0.929350,0.929550,0
20140801 002013193,0.929360,0.929560,0
20140801 002013443,0.929350,0.929550,0
20140801 002016443,0.929360,0.929560,0
20140801 002023943,0.929350,0.929550,0
20140801 002032927,0.929360,0.929560,0
20140801 002034677,0.929340,0.929540,0
20140801 002035177,0.929330,0.929530,0
20140801 002035427,0.929320,0.929520,0
20140801 002035677,0.929330,0.929530,0
20140801 002036177,0.929320,0.929520,0
20140801 002036927,0.929330,0.929530,0
20140801 002038677,0.929320,0.929520,0
20140801 002042177,0.929330,0.929530,0
20140801 002047177,0.929370,0.929570,0
20140801 002047427,0.929360,0.929560,0
20140801 002047677,0.929350,0.929550,0
20140801 002047927,0.929340,0.929540,0
20140801 002049927,0.929350,0.929550,0
20140801 002051177,0.929340,0.929540,0
20140801 002110677,0.929310,0.929510,0
20140801 002111427,0.929300,0.929500,0
20140801 002111677,0.929290,0.929490,0
20140801 002111927,0.929280,0.929480,0
20140801 002112193,0.929320,0.929520,0
20140801 002112427,0.929290,0.929490,0
20140801 002112677,0.929250,0.929450,0
20140801 002112927,0.929270,0.929470,0
20140801 002113177,0.929280,0.929480,0
20140801 002113427,0.929290,0.929490,0
20140801 002113677,0.929330,0.929530,0
20140801 002121427,0.929320,0.929520,0
20140801 002121927,0.929290,0.929490,0
20140801 002122177,0.929280,0.929480,0
20140801 002131177,0.929290,0.929490,0
20140801 002132927,0.929280,0.929480,0
20140801 002145177,0.929290,0.929490,0
20140801 002227440,0.929300,0.929500,0
20140801 002255190,0.929290,0.929490,0
20140801 002256190,0.929300,0.929500,0
20140801 002256440,0.929270,0.929470,0
20140801 002256690,0.929260,0.929460,0
20140801 002305940,0.929300,0.929500,0
20140801 002306440,0.929290,0.929490,0
20140801 002306690,0.929300,0.929500,0
20140801 002307190,0.929290,0.929490,0
20140801 002307440,0.929300,0.929500,0
20140801 002309957,0.929290,0.929490,0
20140801 002310190,0.929300,0.929500,0
20140801 002310940,0.929290,0.929490,0
20140801 002311190,0.929300,0.929500,0
20140801 002316940,0.929290,0.929490,0
20140801 002317190,0.929300,0.929500,0
20140801 002317940,0.929290,0.929490,0
20140801 002318440,0.929300,0.929500,0
20140801 002320690,0.929290,0.929490,0
20140801 002321190,0.929300,0.929500,0
20140801 002326190,0.929290,0.929490,0
20140801 002326690,0.929300,0.929500,0
20140801 002331690,0.929290,0.929490,0
20140801 002334690,0.929330,0.929530,0
