TIME,MIN,MAX,OTHER
20140801 000101917,1.338720,1.338890,0
20140801 000102167,1.338710,1.338880,0
20140801 000107167,1.338700,1.338870,0
20140801 000107917,1.338710,1.338880,0
20140801 000114667,1.338700,1.338870,0
20140801 000116933,1.338660,1.338830,0
20140801 000117183,1.338670,1.338840,0
20140801 000117433,1.338660,1.338830,0
20140801 000117683,1.338670,1.338840,0
20140801 000117933,1.338650,1.338820,0
20140801 000118183,1.338670,1.338840,0
20140801 000118433,1.338680,1.338850,0
20140801 000118683,1.338670,1.338840,0
20140801 000140933,1.338680,1.338850,0
20140801 000142183,1.338670,1.338840,0
20140801 000142433,1.338680,1.338850,0
20140801 000155683,1.338690,1.338860,0
20140801 000157433,1.338710,1.338880,0
20140801 000157683,1.338700,1.338870,0
20140801 000206933,1.338710,1.338880,0
20140801 000207433,1.338720,1.338890,0
20140801 000213933,1.338710,1.338880,0
20140801 000246917,1.338700,1.338870,0
20140801 000247417,1.338680,1.338850,0
20140801 000247667,1.338670,1.338840,0
20140801 000247917,1.338680,1.338850,0
20140801 000455167,1.338690,1.338860,0
20140801 000513667,1.338680,1.338850,0
20140801 000513917,1.338690,1.338860,0
20140801 000540183,1.338680,1.338850,0
20140801 000541433,1.338670,1.338840,0
20140801 000541933,1.338680,1.338850,0
20140801 000544433,1.338670,1.338840,0
20140801 000544933,1.338680,1.338850,0
20140801 000545433,1.338670,1.338840,0
20140801 000620447,1.338680,1.338850,0
20140801 000621447,1.338670,1.338840,0
20140801 000742197,1.338680,1.338850,0
20140801 000742697,1.338670,1.338840,0
20140801 000809947,1.338660,1.338830,0
20140801 000811197,1.338670,1.338840,0
20140801 000901447,1.338630,1.338800,0
20140801 000901680,1.338640,1.338810,0
20140801 000901930,1.338630,1.338800,0
20140801 000903680,1.338620,1.338790,0
20140801 000904180,1.338610,1.338780,0
20140801 000904680,1.338620,1.338790,0
20140801 000916930,1.338630,1.338800,0
20140801 000917680,1.338620,1.338790,0
20140801 000918180,1.338630,1.338800,0
20140801 000926930,1.338620,1.338790,0
20140801 000940930,1.338630,1.338800,0
20140801 000943930,1.338620,1.338790,0
20140801 000944930,1.338610,1.338780,0
20140801 000945180,1.338620,1.338790,0
20140801 000945430,1.338630,1.338800,0
20140801 000948680,1.338620,1.338790,0
20140801 000948930,1.338610,1.338780,0
20140801 000950430,1.338600,1.338770,0
20140801 000953430,1.338620,1.338790,0
