TIME,MIN,MAX,OTHER
20140731 001008733,0.85041,0.85071,0
20140731 001015233,0.8504,0.8507,0
20140731 001022483,0.85041,0.85071,0
20140731 001028983,0.8504,0.8507,0
20140731 001029233,0.85038,0.85068,0
20140731 001031233,0.8504,0.8507,0
20140731 001031733,0.85041,0.85071,0
20140731 001035983,0.85039,0.85069,0
20140731 001036233,0.85038,0.85068,0
20140731 001037733,0.85039,0.85069,0
20140731 001037983,0.8504,0.8507,0
20140731 001042733,0.85041,0.85071,0
20140731 001046483,0.8504,0.8507,0
20140731 001047983,0.85039,0.85069,0
20140731 001050483,0.8504,0.8507,0
20140731 001050983,0.85039,0.85069,0
20140731 001052233,0.8504,0.8507,0
20140731 001052983,0.85041,0.85071,0
20140731 001053233,0.85042,0.85072,0
20140731 001053407,0.85045,0.85075,0
20140731 001104983,0.85044,0.85074,0
20140731 001105983,0.85045,0.85075,0
20140731 001106983,0.85044,0.85074,0
20140731 001107233,0.85045,0.85075,0
20140731 001119983,0.85046,0.85076,0
20140731 001120233,0.85045,0.85075,0
20140731 001120983,0.85046,0.85076,0
20140731 001127483,0.85048,0.85078,0
20140731 001127983,0.85049,0.85079,0
20140731 001128233,0.8505,0.8508,0
20140731 001128483,0.85049,0.85079,0
20140731 001129483,0.85048,0.85078,0
20140731 001132733,0.85046,0.85076,0
20140731 001132983,0.85042,0.85072,0
20140731 001135983,0.85044,0.85074,0
20140731 001136233,0.85045,0.85075,0
20140731 001136483,0.85046,0.85076,0
20140731 001136733,0.85045,0.85075,0
20140731 001137233,0.85044,0.85074,0
20140731 001139733,0.85045,0.85075,0
20140731 001142733,0.85044,0.85074,0
20140731 001142983,0.85045,0.85075,0
20140731 001201983,0.85043,0.85073,0
20140731 001202733,0.85042,0.85072,0
20140731 001219983,0.85043,0.85073,0
20140731 001257983,0.85042,0.85072,0
20140731 001258983,0.85046,0.85076,0
20140731 001259483,0.85048,0.85078,0
20140731 001259733,0.85049,0.85079,0
20140731 001259983,0.85051,0.85081,0
20140731 001301733,0.8505,0.8508,0
20140731 001302483,0.85046,0.85076,0
20140731 001302733,0.85045,0.85075,0
20140731 001302983,0.85043,0.85073,0
20140731 001303233,0.85044,0.85074,0
20140731 001304733,0.85045,0.85075,0
20140731 001304983,0.85044,0.85074,0
20140731 001305233,0.85045,0.85075,0
20140731 001306733,0.85044,0.85074,0
20140731 001308983,0.85043,0.85073,0
20140731 001309483,0.85042,0.85072,0
20140731 001309733,0.85043,0.85073,0
20140731 001311233,0.85042,0.85072,0
20140731 001312233,0.85043,0.85073,0
20140731 001320733,0.85042,0.85072,0
20140731 001322233,0.85044,0.85074,0
20140731 001322483,0.85041,0.85071,0
20140731 001322733,0.85038,0.85068,0
20140731 001322983,0.85032,0.85062,0
20140731 001323233,0.85036,0.85066,0
20140731 001323483,0.85031,0.85061,0
20140731 001323733,0.8503,0.8506,0
20140731 001323967,0.85027,0.85057,0
20140731 001324233,0.85026,0.85056,0
20140731 001326233,0.85033,0.85063,0
20140731 001326483,0.85031,0.85061,0
20140731 001326733,0.8503,0.8506,0
20140731 001327483,0.85031,0.85061,0
20140731 001329483,0.8503,0.8506,0
20140731 001329733,0.85029,0.85059,0
20140731 001331233,0.85028,0.85058,0
20140731 001331483,0.85026,0.85056,0
20140731 001331983,0.85024,0.85054,0
20140731 001334233,0.85023,0.85053,0
20140731 001337467,0.85024,0.85054,0
20140731 001338217,0.85025,0.85055,0
20140731 001338733,0.85026,0.85056,0
20140731 001339233,0.85027,0.85057,0
20140731 001339467,0.85028,0.85058,0
20140731 001359217,0.85023,0.85053,0
20140731 001359467,0.85019,0.85049,0
20140731 001359717,0.85018,0.85048,0
20140731 001401967,0.85019,0.85049,0
20140731 001402233,0.85018,0.85048,0
20140731 001403217,0.85019,0.85049,0
20140731 001406717,0.85017,0.85047,0
20140731 001406983,0.85012,0.85042,0
20140731 001415717,0.85013,0.85043,0
20140731 001422733,0.85014,0.85044,0
20140731 001429967,0.85013,0.85043,0
20140731 001438497,0.85012,0.85042,0
20140731 001438747,0.85011,0.85041,0
20140731 001438997,0.8501,0.8504,0
20140731 001443983,0.85009,0.85039,0
20140731 001444747,0.85008,0.85038,0
20140731 001444983,0.85007,0.85037,0
20140731 001452747,0.85008,0.85038,0
20140731 001453247,0.85007,0.85037,0
20140731 001453483,0.85008,0.85038,0
20140731 001453747,0.85007,0.85037,0
20140731 001453983,0.85008,0.85038,0
20140731 001455247,0.85007,0.85037,0
20140731 001505983,0.85008,0.85038,0
20140731 001508733,0.85011,0.85041,0
20140731 001509233,0.85012,0.85042,0
20140731 001510483,0.85013,0.85043,0
20140731 001511747,0.85014,0.85044,0
20140731 001519747,0.85013,0.85043,0
20140731 001537997,0.85012,0.85042,0
20140731 001551980,0.85013,0.85043,0
20140731 001607247,0.85012,0.85042,0
20140731 001634497,0.85013,0.85043,0
20140731 001638247,0.85012,0.85042,0
20140731 001642247,0.85013,0.85043,0
20140731 001703747,0.85014,0.85044,0
20140731 001705747,0.85013,0.85043,0
20140731 001717247,0.85014,0.85044,0
20140731 001726247,0.85013,0.85043,0
20140731 001727497,0.85014,0.85044,0
20140731 001735497,0.85013,0.85043,0
20140731 001736747,0.85014,0.85044,0
20140731 001744747,0.85013,0.85043,0
20140731 001745247,0.85014,0.85044,0
20140731 001747247,0.85013,0.85043,0
