TIME,MIN,MAX,OTHER
20140731 001836247,1.6919,1.6922,0
20140731 001839247,1.69191,1.69221,0
20140731 001841747,1.6919,1.6922,0
20140731 001951497,1.69189,1.69219,0
20140731 001954497,1.6919,1.6922,0
20140731 001955497,1.69189,1.69219,0
20140731 001955997,1.6919,1.6922,0
20140731 001959747,1.69189,1.69219,0
20140731 001959997,1.6919,1.6922,0
20140731 002007497,1.69189,1.69219,0
20140731 002008497,1.6919,1.6922,0
20140731 002113747,1.69191,1.69221,0
20140731 002114247,1.6919,1.6922,0
20140731 002214243,1.69191,1.69221,0
20140731 002214743,1.6919,1.6922,0
20140731 002221243,1.69191,1.69221,0
20140731 002221493,1.6919,1.6922,0
20140731 002306493,1.69188,1.69218,0
20140731 002307743,1.69187,1.69217,0
20140731 002308743,1.69188,1.69218,0
20140731 002311743,1.69189,1.69219,0
20140731 002334493,1.69187,1.69217,0
20140731 002334743,1.69188,1.69218,0
20140731 002335243,1.69189,1.69219,0
20140731 002339743,1.6919,1.6922,0
20140731 002340743,1.69189,1.69219,0
20140731 002342243,1.69188,1.69218,0
20140731 002342493,1.69189,1.69219,0
20140731 002342743,1.69188,1.69218,0
20140731 002402743,1.69191,1.69221,0
20140731 002429993,1.6919,1.6922,0
20140731 002430243,1.69189,1.69219,0
20140731 002432493,1.69187,1.69217,0
20140731 002434243,1.69188,1.69218,0
20140731 002434493,1.69189,1.69219,0
20140731 002434993,1.69188,1.69218,0
20140731 002449993,1.69189,1.69219,0
20140731 002457493,1.69188,1.69218,0
20140731 002458243,1.69189,1.69219,0
20140731 002505493,1.69191,1.69221,0
20140731 002505743,1.6919,1.6922,0
20140731 002507743,1.69186,1.69216,0
20140731 002507993,1.69188,1.69218,0
20140731 002544243,1.69187,1.69217,0
20140731 002548993,1.69188,1.69218,0
20140731 002549743,1.69187,1.69217,0
20140731 002602243,1.69188,1.69218,0
20140731 002609493,1.69187,1.69217,0
20140731 002610243,1.69188,1.69218,0
20140731 002613993,1.69187,1.69217,0
20140731 002614243,1.69188,1.69218,0
20140731 002618993,1.69189,1.69219,0
20140731 002619243,1.69188,1.69218,0
20140731 002642727,1.69187,1.69217,0
20140731 002644977,1.69189,1.69219,0
20140731 002645227,1.69191,1.69221,0
20140731 002645477,1.69189,1.69219,0
20140731 002645727,1.69188,1.69218,0
20140731 002645977,1.69189,1.69219,0
20140731 002652977,1.6919,1.6922,0
20140731 002653727,1.69189,1.69219,0
20140731 002656993,1.6919,1.6922,0
20140731 002657743,1.69189,1.69219,0
