TIME,Average,Price change,Average-10,StdDev-10,Average-10 price change,StdDev-10 price change,Up/down in 10
20140731 000052987,0.917170364,0.00000841200000,0.91716615750000,0.00000443351328,0.00000000000000,0.00000886702656,1
20140731 000053237,0.917161952,-0.00000841200000,0.91716615750000,0.00000443351328,0.00000000000000,0.00000886702656,1
20140731 000058987,0.917170364,0.00000841200000,0.91716615750000,0.00000443351328,0.00000000000000,0.00000886702656,1
20140731 000059237,0.917161952,-0.00000841200000,0.91716615750000,0.00000443351328,0.00000000000000,0.00000886702656,1
20140731 000100237,0.917170364,0.00000841200000,0.91716615750000,0.00000443351328,0.00000000000000,0.00000886702656,1
20140731 000133737,0.917204013,0.00003364900000,0.91716615750000,0.00000443351328,0.00000000000000,0.00000886702656,1
20140731 000232487,0.917145128,-0.00005888450000,0.91717036360000,0.00001254016736,0.00000420610000,0.00001330078580,-1
20140731 000232737,0.917136717,-0.00000841100000,0.91716784005000,0.00001486403055,-0.00000252355000,0.00002380954628,-1
20140731 000617237,0.917145128,0.00000841100000,0.91716531660000,0.00001782241366,-0.00000252345000,0.00002380951880,-1
20140731 000620237,0.917136717,-0.00000841100000,0.91716279305000,0.00001878880040,-0.00000252355000,0.00002380946777,-1
20140731 000631970,0.917145128,0.00000841100000,0.91716026960000,0.00002052842301,-0.00000252345000,0.00002380944030,-1
20140731 000634500,0.917136717,-0.00000841100000,0.91715774605000,0.00002070009004,-0.00000252355000,0.00002380938927,-1
20140731 000638237,0.917145128,0.00000841100000,0.91715522260000,0.00002164691583,-0.00000252345000,0.00002380936179,-1
20140731 000643237,0.917136717,-0.00000841100000,0.91715269905000,0.00002115096986,-0.00000252355000,0.00002380931076,-1
20140731 000653737,0.917128306,-0.00000841150000,0.91715017560000,0.00002142794600,-0.00000252345000,0.00002380928328,-1
20140731 000654237,0.917136717,0.00000841150000,0.91714596980000,0.00002115097649,-0.00000420580000,0.00002354362330,1
20140731 000654487,0.917128306,-0.00000841150000,0.91713924025000,0.00000567709932,-0.00000672955000,0.00002014182222,-1
20140731 000655987,0.917136717,0.00000841150000,0.91713755800000,0.00000620634637,-0.00000168225000,0.00000868699407,1
20140731 000656237,0.917128306,-0.00000841150000,0.91713755800000,0.00000620634637,0.00000000000000,0.00000886618329,-1
20140731 000659237,0.917136717,0.00000841150000,0.91713587575000,0.00000620638402,-0.00000168225000,0.00000868710165,1
20140731 000705237,0.917128306,-0.00000841150000,0.91713587575000,0.00000620638402,0.00000000000000,0.00000886628870,-1
20140731 000705487,0.917103073,-0.00002523300000,0.91713419350000,0.00000567722279,-0.00000168225000,0.00000868720923,-1
20140731 000705987,0.917094662,-0.00000841100000,0.91713082905000,0.00001124984483,-0.00000336445000,0.00001135425627,-1
20140731 000708987,0.917103073,0.00000841100000,0.91712578240000,0.00001486224156,-0.00000504665000,0.00001063944806,-1
20140731 000711487,0.917086251,-0.00001682150000,0.91712241795000,0.00001588484554,-0.00000336445000,0.00001135425627,-1
20140731 000726483,0.917094662,0.00000841050000,0.91711821250000,0.00001934333589,-0.00000420545000,0.00001205920068,-1
20140731 000748733,0.917103073,0.00000841100000,0.91711400695000,0.00001944464612,-0.00000420555000,0.00001205908444,-1
20140731 000750233,0.917077841,-0.00002523200000,0.91711148365000,0.00001901546622,-0.00000252330000,0.00001256972255,-1
20140731 000752483,0.917103073,0.00002523200000,0.91710559600000,0.00001944447069,-0.00000588765000,0.00001376351061,-1
20140731 000753983,0.917077841,-0.00002523200000,0.91710307270000,0.00001773183953,-0.00000252330000,0.00001684498708,-1
20140731 000754483,0.917103073,0.00002523200000,0.91709718505000,0.00001486174794,-0.00000588765000,0.00001775358807,1
20140731 000755983,0.917077841,-0.00002523200000,0.91709466175000,0.00001048995920,-0.00000252330000,0.00002023633501,-1
20140731 000756483,0.917103073,0.00002523200000,0.91709213855000,0.00001124920516,-0.00000252320000,0.00002023621032,1
20140731 000757983,0.917077841,-0.00002523200000,0.91709297965000,0.00001176158079,0.00000084110000,0.00002187854775,-1
20140731 000820233,0.917094662,0.00001682100000,0.91709045645000,0.00001205854194,-0.00000252320000,0.00002313572437,-1
20140731 000839983,0.917086251,-0.00000841050000,0.91709129750000,0.00001202589284,0.00000084105000,0.00002327118053,1
20140731 000852217,0.917077841,-0.00000841050000,0.91709045645000,0.00001205854194,-0.00000084105000,0.00002327118053,-1
20140731 000852467,0.917044201,-0.00003364000000,0.91708793325000,0.00001176155695,-0.00000252320000,0.00002313566378,-1
20140731 000853983,0.917069431,0.00002523000000,0.91708456925000,0.00001808170609,-0.00000336400000,0.00002418178067,-1
20140731 000854217,0.91705261,-0.00001682050000,0.91708120505000,0.00001737228294,-0.00000336420000,0.00002418151789,-1
20140731 000854467,0.917044201,-0.00000840950000,0.91707868200000,0.00001960403815,-0.00000252305000,0.00002347222535,-1
20140731 000855717,0.917069431,0.00002523000000,0.91707279480000,0.00002029326906,-0.00000588720000,0.00002136882648,-1
20140731 000927733,0.917077841,0.00000841000000,0.91707195380000,0.00002023511122,-0.00000084100000,0.00002223375364,-1
20140731 000929467,0.917069431,-0.00000841000000,0.91706943060000,0.00001728117763,-0.00000252320000,0.00002061967753,-1
20140731 000955983,0.91705261,-0.00001682050000,0.91706858960000,0.00001702923197,-0.00000084100000,0.00001919839913,-1
20140731 000956233,0.917044201,-0.00000840950000,0.91706438445000,0.00001493959487,-0.00000420515000,0.00001870065324,1
20140731 000958233,0.917069431,0.00002523000000,0.91706017940000,0.00001398866537,-0.00000420505000,0.00001870062826,1
20140731 000958483,0.91705261,-0.00001682050000,0.91705933840000,0.00001302877336,-0.00000084100000,0.00002077121275,1
20140731 000958733,0.917044201,-0.00000840950000,0.91706017935000,0.00001218735136,0.00000084095000,0.00001836140267,1
20140731 000959983,0.917069431,0.00002523000000,0.91705765635000,0.00001266170244,-0.00000252300000,0.00001637020818,1
20140731 001105733,0.917044201,-0.00002523000000,0.91705933840000,0.00001302877336,0.00000168205000,0.00001764098602,-1
20140731 001124233,0.917035791,-0.00000840950000,0.91705933840000,0.00001302877336,0.00000000000000,0.00001942211117,-1
