TIME,MAX,MIN,OTHER
20140801 001023180,0.009717323,0.009715435,0
20140801 001023680,0.009717417,0.009715529,0
20140801 001029430,0.009717323,0.009715435,0
20140801 001029680,0.009717417,0.009715529,0
20140801 001030180,0.009717323,0.009715435,0
20140801 001031430,0.009717417,0.009715529,0
20140801 001032180,0.009717323,0.009715435,0
20140801 001033180,0.009717134,0.009715246,0
20140801 001033430,0.00971704,0.009715152,0
20140801 001034430,0.009717134,0.009715246,0
20140801 001034930,0.00971704,0.009715152,0
20140801 001035930,0.009717134,0.009715246,0
20140801 001036930,0.00971704,0.009715152,0
20140801 001037680,0.009717229,0.009715341,0
20140801 001037930,0.009717323,0.009715435,0
20140801 001047430,0.009717417,0.009715529,0
20140801 001047930,0.009717323,0.009715435,0
20140801 001048680,0.009717417,0.009715529,0
20140801 001049180,0.009717323,0.009715435,0
20140801 001049930,0.009717417,0.009715529,0
20140801 001117180,0.009717512,0.009715624,0
20140801 001117430,0.00971789,0.009716001,0
20140801 001118180,0.009717984,0.009716096,0
20140801 001121180,0.00971789,0.009716001,0
20140801 001129680,0.009717795,0.009715907,0
20140801 001129930,0.009717701,0.009715812,0
20140801 001130180,0.009717606,0.009715718,0
20140801 001130680,0.009717512,0.009715624,0
20140801 001130930,0.009717417,0.009715529,0
20140801 001138180,0.009717323,0.009715435,0
20140801 001140430,0.009717417,0.009715529,0
20140801 001142680,0.009717323,0.009715435,0
20140801 001146930,0.009717417,0.009715529,0
20140801 001147680,0.009717229,0.009715341,0
20140801 001148180,0.009717323,0.009715435,0
20140801 001148680,0.009717229,0.009715341,0
20140801 001149180,0.009717323,0.009715435,0
20140801 001149680,0.009717229,0.009715341,0
20140801 001149930,0.009717134,0.009715246,0
20140801 001154430,0.00971704,0.009715152,0
20140801 001155680,0.009716945,0.009715057,0
20140801 001156180,0.00971704,0.009715152,0
20140801 001159930,0.009716945,0.009715057,0
20140801 001200430,0.009716757,0.009714869,0
20140801 001200680,0.009716473,0.009714585,0
20140801 001200930,0.009716568,0.00971468,0
20140801 001202430,0.009716662,0.009714774,0
20140801 001202930,0.009716851,0.009714963,0
20140801 001204680,0.009716757,0.009714869,0
20140801 001204930,0.009716851,0.009714963,0
20140801 001226180,0.009716757,0.009714869,0
20140801 001233680,0.009716662,0.009714774,0
20140801 001244930,0.009716757,0.009714869,0
20140801 001245180,0.009716662,0.009714774,0
20140801 001245680,0.009716757,0.009714869,0
20140801 001246180,0.009716851,0.009714963,0
20140801 001246930,0.009716757,0.009714869,0
20140801 001247680,0.009716662,0.009714774,0
20140801 001250680,0.009716568,0.00971468,0
20140801 001250947,0.009716473,0.009714585,0
20140801 001251680,0.009716568,0.00971468,0
20140801 001254430,0.009716473,0.009714585,0
20140801 001256180,0.009716568,0.00971468,0
20140801 001300180,0.009716473,0.009714585,0
20140801 001300430,0.009716568,0.00971468,0
