TIME,MIN,MAX,OTHER
20140801 001600677,0.850090,0.850390,0
20140801 001600927,0.850100,0.850400,0
20140801 001607927,0.850090,0.850390,0
20140801 001614427,0.850100,0.850400,0
20140801 001615427,0.850090,0.850390,0
20140801 001624427,0.850100,0.850400,0
20140801 001625427,0.850090,0.850390,0
20140801 001627927,0.850100,0.850400,0
20140801 001628927,0.850090,0.850390,0
20140801 001630927,0.850060,0.850360,0
20140801 001635443,0.850070,0.850370,0
20140801 001650693,0.850080,0.850380,0
20140801 001652443,0.850070,0.850370,0
20140801 001652693,0.850080,0.850380,0
20140801 001702210,0.850060,0.850360,0
20140801 001702443,0.850040,0.850340,0
20140801 001702943,0.850050,0.850350,0
20140801 001703443,0.850040,0.850340,0
20140801 001704443,0.850120,0.850420,0
20140801 001704693,0.850130,0.850430,0
20140801 001704943,0.850160,0.850460,0
20140801 001705193,0.850150,0.850450,0
20140801 001705693,0.850160,0.850460,0
20140801 001707193,0.850150,0.850450,0
20140801 001708443,0.850170,0.850470,0
20140801 001708693,0.850160,0.850460,0
20140801 001708943,0.850150,0.850450,0
20140801 001711193,0.850180,0.850480,0
20140801 001711443,0.850170,0.850470,0
20140801 001711693,0.850180,0.850480,0
20140801 001711943,0.850190,0.850490,0
20140801 001712693,0.850180,0.850480,0
20140801 001712943,0.850190,0.850490,0
20140801 001720943,0.850180,0.850480,0
20140801 001722443,0.850190,0.850490,0
20140801 001722943,0.850180,0.850480,0
20140801 001724193,0.850170,0.850470,0
20140801 001724443,0.850180,0.850480,0
20140801 001724693,0.850170,0.850470,0
20140801 001725693,0.850160,0.850460,0
20140801 001731193,0.850170,0.850470,0
20140801 001738193,0.850140,0.850440,0
20140801 001753193,0.850130,0.850430,0
20140801 001755193,0.850120,0.850420,0
20140801 001817443,0.850130,0.850430,0
20140801 001817943,0.850120,0.850420,0
20140801 001818193,0.850130,0.850430,0
20140801 001818693,0.850120,0.850420,0
20140801 001818943,0.850130,0.850430,0
20140801 001841693,0.850120,0.850420,0
20140801 001841943,0.850090,0.850390,0
20140801 001848693,0.850110,0.850410,0
20140801 001851943,0.850100,0.850400,0
20140801 001852193,0.850090,0.850390,0
20140801 001852443,0.850100,0.850400,0
20140801 001852693,0.850090,0.850390,0
20140801 001852943,0.850100,0.850400,0
20140801 001853193,0.850090,0.850390,0
