TIME,MAX,MIN,OTHER
20140801 002056927,0.91604452,0.915792848,0
20140801 002101677,0.916036128,0.915784461,0
20140801 002110427,0.916027737,0.915776074,0
20140801 002110927,0.916036128,0.915784461,0
20140801 002111177,0.916019346,0.915767688,0
20140801 002121177,0.916010955,0.915759302,0
20140801 002145427,0.916002565,0.915750916,0
20140801 002147427,0.916010955,0.915759302,0
20140801 002224190,0.916002565,0.915750916,0
20140801 002227190,0.916010955,0.915759302,0
20140801 002306940,0.916019346,0.915767688,0
20140801 002335940,0.916010955,0.915759302,0
20140801 002347940,0.915994174,0.91574253,0
20140801 002358067,0.915985784,0.915734144,0
20140801 002407190,0.915994174,0.91574253,0
20140801 002412190,0.915985784,0.915734144,0
20140801 002412440,0.915994174,0.91574253,0
20140801 002422690,0.915985784,0.915734144,0
20140801 002438440,0.915994174,0.91574253,0
20140801 002446440,0.915985784,0.915734144,0
20140801 002506690,0.915994174,0.91574253,0
20140801 002512690,0.915985784,0.915734144,0
20140801 002616707,0.915977394,0.915725758,0
20140801 002710190,0.915969004,0.915717373,0
20140801 002715940,0.915977394,0.915725758,0
20140801 002828940,0.915969004,0.915717373,0
20140801 002829440,0.915952224,0.915700603,0
20140801 002926440,0.915960614,0.915708988,0
20140801 002941940,0.915952224,0.915700603,0
20140801 002942440,0.915960614,0.915708988,0
20140801 002942690,0.915952224,0.915700603,0
20140801 002954187,0.915977394,0.915725758,0
20140801 003003953,0.915985784,0.915734144,0
20140801 003009953,0.915977394,0.915725758,0
20140801 003025937,0.915952224,0.915700603,0
20140801 003026187,0.915960614,0.915708988,0
20140801 003026687,0.915952224,0.915700603,0
20140801 003044687,0.915943834,0.915692218,0
20140801 003044937,0.915935445,0.915683833,0
20140801 003045187,0.915943834,0.915692218,0
20140801 003047187,0.915935445,0.915683833,0
20140801 003112453,0.915910277,0.915658679,0
20140801 003125953,0.915901889,0.915650295,0
20140801 003126203,0.9158935,0.915641911,0
20140801 003126453,0.915901889,0.915650295,0
20140801 003136703,0.915910277,0.915658679,0
20140801 003149453,0.915901889,0.915650295,0
20140801 003213203,0.915910277,0.915658679,0
20140801 003214953,0.915901889,0.915650295,0
20140801 003223187,0.915910277,0.915658679,0
20140801 003239187,0.915901889,0.915650295,0
20140801 003243437,0.915910277,0.915658679,0
20140801 003246187,0.915901889,0.915650295,0
20140801 003259937,0.915910277,0.915658679,0
20140801 003308937,0.915901889,0.915650295,0
20140801 003309687,0.915910277,0.915658679,0
20140801 003311437,0.915901889,0.915650295,0
20140801 003311687,0.915910277,0.915658679,0
