TIME,MIN,MAX,OTHER
20140801 001948193,1.687060,1.687360,0
20140801 001948443,1.687030,1.687330,0
20140801 001949443,1.687020,1.687320,0
20140801 001953193,1.687030,1.687330,0
20140801 001958943,1.687020,1.687320,0
20140801 001959193,1.687030,1.687330,0
20140801 001959443,1.687020,1.687320,0
20140801 001959693,1.687030,1.687330,0
20140801 001959943,1.687020,1.687320,0
20140801 002002943,1.687030,1.687330,0
20140801 002010443,1.687020,1.687320,0
20140801 002010693,1.687010,1.687310,0
20140801 002016943,1.687020,1.687320,0
20140801 002017193,1.687010,1.687310,0
20140801 002017443,1.687000,1.687300,0
20140801 002018193,1.687010,1.687310,0
20140801 002022443,1.687030,1.687330,0
20140801 002113177,1.687020,1.687320,0
20140801 002143677,1.687030,1.687330,0
20140801 002217940,1.687020,1.687320,0
20140801 002237440,1.687030,1.687330,0
20140801 002245690,1.687020,1.687320,0
20140801 002246440,1.687030,1.687330,0
20140801 002247690,1.687020,1.687320,0
20140801 002248690,1.687030,1.687330,0
20140801 002249190,1.687020,1.687320,0
20140801 002249440,1.687060,1.687360,0
20140801 002249940,1.687040,1.687340,0
20140801 002254190,1.687070,1.687370,0
20140801 002254440,1.687090,1.687390,0
20140801 002305940,1.687040,1.687340,0
20140801 002306223,1.687060,1.687360,0
20140801 002306440,1.687080,1.687380,0
20140801 002321940,1.687090,1.687390,0
20140801 002341440,1.687050,1.687350,0
20140801 002341940,1.687080,1.687380,0
20140801 002342190,1.687090,1.687390,0
20140801 002342440,1.687060,1.687360,0
20140801 002342690,1.687040,1.687340,0
20140801 002342940,1.687030,1.687330,0
20140801 002343690,1.687020,1.687320,0
20140801 002347940,1.687060,1.687360,0
20140801 002348207,1.687040,1.687340,0
20140801 002348440,1.687030,1.687330,0
20140801 002348690,1.687020,1.687320,0
20140801 002358940,1.687000,1.687300,0
20140801 002405690,1.687010,1.687310,0
20140801 002406440,1.687020,1.687320,0
20140801 002408440,1.687030,1.687330,0
20140801 002411440,1.687020,1.687320,0
20140801 002425190,1.687010,1.687310,0
20140801 002426440,1.687020,1.687320,0
20140801 002432690,1.687010,1.687310,0
20140801 002433940,1.687020,1.687320,0
20140801 002437940,1.687010,1.687310,0
20140801 002438690,1.687020,1.687320,0
20140801 002452190,1.687000,1.687300,0
20140801 002457940,1.687010,1.687310,0
20140801 002458440,1.687020,1.687320,0
20140801 002458690,1.687010,1.687310,0
20140801 002504440,1.687050,1.687350,0
20140801 002504690,1.687040,1.687340,0
20140801 002504940,1.687030,1.687330,0
20140801 002508940,1.687020,1.687320,0
20140801 002510940,1.687030,1.687330,0
20140801 002511190,1.687020,1.687320,0
20140801 002515440,1.687030,1.687330,0
20140801 002516190,1.687020,1.687320,0
20140801 002548707,1.687030,1.687330,0
20140801 002553457,1.687020,1.687320,0
20140801 002557957,1.686980,1.687280,0
20140801 002558207,1.687010,1.687310,0
20140801 002558457,1.687000,1.687300,0
20140801 002601957,1.686960,1.687260,0
20140801 002602207,1.686920,1.687220,0
20140801 002602457,1.686900,1.687200,0
20140801 002602707,1.686890,1.687190,0
20140801 002602957,1.686900,1.687200,0
20140801 002603207,1.686890,1.687190,0
20140801 002604457,1.686900,1.687200,0
20140801 002604707,1.686910,1.687210,0
20140801 002607457,1.686880,1.687180,0
20140801 002607707,1.686830,1.687130,0
20140801 002607957,1.686820,1.687120,0
20140801 002608207,1.686800,1.687100,0
20140801 002611707,1.686810,1.687110,0
20140801 002618957,1.686820,1.687120,0
20140801 002626457,1.686860,1.687160,0
20140801 002626707,1.686870,1.687170,0
20140801 002630707,1.686850,1.687150,0
20140801 002630940,1.686840,1.687140,0
20140801 002631190,1.686830,1.687130,0
20140801 002631940,1.686840,1.687140,0
20140801 002633690,1.686830,1.687130,0
20140801 002633940,1.686820,1.687120,0
20140801 002639190,1.686810,1.687110,0
20140801 002640940,1.686820,1.687120,0
20140801 002641940,1.686810,1.687110,0
20140801 002642190,1.686790,1.687090,0
20140801 002652190,1.686780,1.687080,0
20140801 002654690,1.686740,1.687040,0
20140801 002654940,1.686720,1.687020,0
20140801 002655190,1.686710,1.687010,0
20140801 002655440,1.686720,1.687020,0
20140801 002659940,1.686710,1.687010,0
20140801 002703940,1.686720,1.687020,0
20140801 002704690,1.686690,1.686990,0
20140801 002704940,1.686700,1.687000,0
20140801 002705190,1.686680,1.686980,0
20140801 002705440,1.686650,1.686950,0
20140801 002705690,1.686630,1.686930,0
20140801 002705940,1.686620,1.686920,0
20140801 002706190,1.686630,1.686930,0
20140801 002707440,1.686650,1.686950,0
20140801 002707690,1.686680,1.686980,0
20140801 002711190,1.686690,1.686990,0
20140801 002714190,1.686710,1.687010,0
20140801 002714440,1.686690,1.686990,0
20140801 002714690,1.686720,1.687020,0
20140801 002714940,1.686710,1.687010,0
20140801 002716190,1.686720,1.687020,0
20140801 002717190,1.686710,1.687010,0
20140801 002721690,1.686720,1.687020,0
20140801 002722440,1.686710,1.687010,0
20140801 002722940,1.686700,1.687000,0
20140801 002729940,1.686690,1.686990,0
20140801 002736190,1.686700,1.687000,0
20140801 002737440,1.686690,1.686990,0
20140801 002739940,1.686680,1.686980,0
20140801 002743440,1.686670,1.686970,0
20140801 002743690,1.686680,1.686980,0
20140801 002810690,1.686670,1.686970,0
20140801 002819940,1.686650,1.686950,0
20140801 002828707,1.686620,1.686920,0
20140801 002834190,1.686630,1.686930,0
20140801 002834457,1.686620,1.686920,0
20140801 002834690,1.686630,1.686930,0
20140801 002834940,1.686640,1.686940,0
20140801 002837190,1.686660,1.686960,0
20140801 002837440,1.686680,1.686980,0
20140801 002837690,1.686710,1.687010,0
20140801 002838063,1.686720,1.687020,0
20140801 002838207,1.686730,1.687030,0
20140801 002839940,1.686720,1.687020,0
20140801 002840190,1.686730,1.687030,0
20140801 002842440,1.686720,1.687020,0
20140801 002843440,1.686710,1.687010,0
20140801 002849440,1.686700,1.687000,0
20140801 002849690,1.686680,1.686980,0
20140801 002849940,1.686620,1.686920,0
20140801 002850190,1.686640,1.686940,0
20140801 002850440,1.686650,1.686950,0
20140801 002852190,1.686670,1.686970,0
20140801 002901690,1.686680,1.686980,0
20140801 002901940,1.686690,1.686990,0
20140801 002902440,1.686700,1.687000,0
20140801 002912440,1.686710,1.687010,0
20140801 002912690,1.686720,1.687020,0
20140801 002920190,1.686710,1.687010,0
20140801 002920940,1.686700,1.687000,0
20140801 002930690,1.686710,1.687010,0
20140801 002931190,1.686700,1.687000,0
20140801 003001453,1.686740,1.687040,0
20140801 003001703,1.686720,1.687020,0
20140801 003006203,1.686710,1.687010,0
20140801 003008453,1.686700,1.687000,0
20140801 003011453,1.686710,1.687010,0
20140801 003016720,1.686700,1.687000,0
20140801 003016953,1.686710,1.687010,0
20140801 003043437,1.686730,1.687030,0
20140801 003053703,1.686740,1.687040,0
20140801 003054720,1.686730,1.687030,0
20140801 003113203,1.686710,1.687010,0
20140801 003127703,1.686720,1.687020,0
20140801 003136953,1.686730,1.687030,0
20140801 003142203,1.686720,1.687020,0
20140801 003149203,1.686730,1.687030,0
20140801 003154453,1.686720,1.687020,0
20140801 003154703,1.686750,1.687050,0
20140801 003216203,1.686740,1.687040,0
20140801 003216453,1.686750,1.687050,0
20140801 003224437,1.686730,1.687030,0
20140801 003235937,1.686740,1.687040,0
20140801 003236187,1.686730,1.687030,0
20140801 003241687,1.686740,1.687040,0
20140801 003243187,1.686730,1.687030,0
20140801 003308187,1.686710,1.687010,0
20140801 003312937,1.686720,1.687020,0
20140801 003320187,1.686730,1.687030,0
20140801 003327187,1.686720,1.687020,0
20140801 003327437,1.686710,1.687010,0
20140801 003341687,1.686720,1.687020,0
20140801 003341937,1.686710,1.687010,0
20140801 003343687,1.686720,1.687020,0
20140801 003350937,1.686730,1.687030,0
20140801 003351687,1.686720,1.687020,0
20140801 003401953,1.686730,1.687030,0
20140801 003402703,1.686740,1.687040,0
20140801 003410203,1.686730,1.687030,0
20140801 003410687,1.686720,1.687020,0
20140801 003410937,1.686710,1.687010,0
20140801 003411187,1.686700,1.687000,0
20140801 003411687,1.686710,1.687010,0
20140801 003415187,1.686720,1.687020,0
20140801 003415937,1.686710,1.687010,0
20140801 003417187,1.686720,1.687020,0
20140801 003417937,1.686710,1.687010,0
20140801 003418187,1.686720,1.687020,0
20140801 003418437,1.686730,1.687030,0
20140801 003424203,1.686740,1.687040,0
20140801 003425187,1.686730,1.687030,0
20140801 003426437,1.686740,1.687040,0
20140801 003426937,1.686730,1.687030,0
20140801 003427187,1.686740,1.687040,0
20140801 003429437,1.686750,1.687050,0
20140801 003429687,1.686740,1.687040,0
20140801 003429937,1.686780,1.687080,0
20140801 003430687,1.686820,1.687120,0
20140801 003431187,1.686830,1.687130,0
20140801 003440453,1.686840,1.687140,0
20140801 003440703,1.686890,1.687190,0
20140801 003440953,1.686910,1.687210,0
20140801 003441703,1.686920,1.687220,0
20140801 003442453,1.686930,1.687230,0
20140801 003503437,1.686920,1.687220,0
20140801 003514203,1.686910,1.687210,0
20140801 003514453,1.686920,1.687220,0
20140801 003528203,1.686930,1.687230,0
20140801 003528453,1.686920,1.687220,0
20140801 003532437,1.686930,1.687230,0
20140801 003532937,1.686920,1.687220,0
20140801 003533187,1.686910,1.687210,0
20140801 003539687,1.686900,1.687200,0
20140801 003540437,1.686910,1.687210,0
20140801 003554687,1.686900,1.687200,0
20140801 003600187,1.686920,1.687220,0
20140801 003600687,1.686910,1.687210,0
20140801 003606687,1.686900,1.687200,0
20140801 003608937,1.686910,1.687210,0
20140801 003609187,1.686900,1.687200,0
20140801 003616953,1.686910,1.687210,0
20140801 003617453,1.686900,1.687200,0
20140801 003617953,1.686910,1.687210,0
20140801 003620203,1.686930,1.687230,0
20140801 003620453,1.686920,1.687220,0
20140801 003622703,1.686910,1.687210,0
20140801 003630203,1.686920,1.687220,0
20140801 003632203,1.686910,1.687210,0
20140801 003632453,1.686920,1.687220,0
20140801 003632703,1.686910,1.687210,0
20140801 003653217,1.686920,1.687220,0
20140801 003654217,1.686910,1.687210,0
20140801 003717217,1.686920,1.687220,0
20140801 003729967,1.686930,1.687230,0
20140801 003730217,1.686920,1.687220,0
20140801 003732467,1.686930,1.687230,0
20140801 003732717,1.686920,1.687220,0
20140801 003751967,1.686910,1.687210,0
20140801 003752717,1.686920,1.687220,0
20140801 003753717,1.686910,1.687210,0
20140801 003753967,1.686920,1.687220,0
20140801 003757967,1.686910,1.687210,0
20140801 003758217,1.686920,1.687220,0
20140801 003758467,1.686930,1.687230,0
20140801 003758717,1.686970,1.687270,0
20140801 003758967,1.686980,1.687280,0
20140801 003808467,1.686990,1.687290,0
20140801 003808717,1.687000,1.687300,0
20140801 003809717,1.686990,1.687290,0
20140801 003810717,1.687030,1.687330,0
20140801 003812717,1.686990,1.687290,0
20140801 003813717,1.687030,1.687330,0
20140801 003813967,1.687000,1.687300,0
20140801 003821967,1.686990,1.687290,0
20140801 003822217,1.686980,1.687280,0
20140801 003833060,1.686970,1.687270,0
20140801 003833467,1.686980,1.687280,0
20140801 003858700,1.687010,1.687310,0
20140801 003859717,1.687000,1.687300,0
20140801 003900217,1.687010,1.687310,0
20140801 003900717,1.687000,1.687300,0
20140801 003901450,1.686990,1.687290,0
20140801 003901967,1.687000,1.687300,0
20140801 003913700,1.686990,1.687290,0
20140801 003914450,1.687000,1.687300,0
20140801 003915450,1.687010,1.687310,0
20140801 003916700,1.686960,1.687260,0
20140801 003916967,1.686920,1.687220,0
20140801 003924717,1.686930,1.687230,0
20140801 003946200,1.686940,1.687240,0
20140801 003950200,1.687000,1.687300,0
20140801 003950450,1.687020,1.687320,0
20140801 004017200,1.687030,1.687330,0
20140801 004017450,1.687040,1.687340,0
20140801 004023450,1.687100,1.687400,0
20140801 004023700,1.687130,1.687430,0
20140801 004027200,1.687120,1.687420,0
20140801 004028450,1.687110,1.687410,0
20140801 004032217,1.687120,1.687420,0
20140801 004032467,1.687130,1.687430,0
20140801 004053217,1.687120,1.687420,0
20140801 004121700,1.687110,1.687410,0
20140801 004121967,1.687120,1.687420,0
20140801 004122217,1.687110,1.687410,0
20140801 004134967,1.687120,1.687420,0
20140801 004135467,1.687110,1.687410,0
20140801 004135717,1.687120,1.687420,0
20140801 004136467,1.687110,1.687410,0
20140801 004136700,1.687120,1.687420,0
20140801 004137467,1.687110,1.687410,0
20140801 004137717,1.687120,1.687420,0
20140801 004142967,1.687130,1.687430,0
20140801 004143967,1.687120,1.687420,0
20140801 004144217,1.687130,1.687430,0
20140801 004144467,1.687120,1.687420,0
20140801 004144717,1.687130,1.687430,0
20140801 004144967,1.687120,1.687420,0
20140801 004146217,1.687130,1.687430,0
20140801 004154200,1.687200,1.687500,0
20140801 004154467,1.687220,1.687520,0
20140801 004154967,1.687230,1.687530,0
20140801 004155967,1.687240,1.687540,0
20140801 004201717,1.687230,1.687530,0
20140801 004210467,1.687220,1.687520,0
20140801 004218217,1.687240,1.687540,0
20140801 004223217,1.687230,1.687530,0
20140801 004238217,1.687220,1.687520,0
20140801 004238467,1.687230,1.687530,0
20140801 004245467,1.687190,1.687490,0
20140801 004246967,1.687170,1.687470,0
20140801 004247467,1.687140,1.687440,0
20140801 004333700,1.687130,1.687430,0
20140801 004335213,1.687140,1.687440,0
20140801 004336463,1.687130,1.687430,0
20140801 004336713,1.687140,1.687440,0
20140801 004337463,1.687130,1.687430,0
20140801 004338213,1.687140,1.687440,0
20140801 004339450,1.687130,1.687430,0
20140801 004340213,1.687140,1.687440,0
20140801 004345463,1.687120,1.687420,0
20140801 004359213,1.687130,1.687430,0
20140801 004413700,1.687140,1.687440,0
20140801 004413963,1.687130,1.687430,0
20140801 004414713,1.687140,1.687440,0
20140801 004414963,1.687130,1.687430,0
20140801 004415463,1.687160,1.687460,0
20140801 004420713,1.687150,1.687450,0
20140801 004421213,1.687160,1.687460,0
20140801 004421463,1.687150,1.687450,0
20140801 004421713,1.687160,1.687460,0
20140801 004421963,1.687150,1.687450,0
20140801 004422213,1.687160,1.687460,0
20140801 004422463,1.687150,1.687450,0
20140801 004422963,1.687160,1.687460,0
20140801 004423713,1.687150,1.687450,0
20140801 004423963,1.687160,1.687460,0
20140801 004445213,1.687120,1.687420,0
20140801 004447963,1.687130,1.687430,0
20140801 004449213,1.687140,1.687440,0
20140801 004453963,1.687130,1.687430,0
20140801 004505713,1.687140,1.687440,0
20140801 004510713,1.687130,1.687430,0
20140801 004531463,1.687110,1.687410,0
20140801 004532213,1.687100,1.687400,0
20140801 004541963,1.687110,1.687410,0
20140801 004550213,1.687120,1.687420,0
20140801 004554963,1.687110,1.687410,0
20140801 004600963,1.687120,1.687420,0
20140801 004601213,1.687130,1.687430,0
20140801 004601963,1.687140,1.687440,0
20140801 004604963,1.687130,1.687430,0
20140801 004607713,1.687140,1.687440,0
20140801 004614713,1.687130,1.687430,0
20140801 004615713,1.687140,1.687440,0
20140801 004655463,1.687160,1.687460,0
20140801 004713713,1.687150,1.687450,0
20140801 004724213,1.687160,1.687460,0
20140801 004725213,1.687130,1.687430,0
20140801 004728713,1.687140,1.687440,0
20140801 004739963,1.687150,1.687450,0
20140801 004740213,1.687140,1.687440,0
20140801 004803197,1.687130,1.687430,0
20140801 004810197,1.687120,1.687420,0
20140801 004810447,1.687140,1.687440,0
20140801 004811197,1.687130,1.687430,0
20140801 004826713,1.687150,1.687450,0
20140801 004826977,1.687170,1.687470,0
20140801 004827697,1.687160,1.687460,0
20140801 004827963,1.687180,1.687480,0
20140801 004843197,1.687170,1.687470,0
20140801 004847697,1.687180,1.687480,0
20140801 004847963,1.687170,1.687470,0
20140801 004849963,1.687180,1.687480,0
20140801 004905697,1.687190,1.687490,0
20140801 004912697,1.687140,1.687440,0
20140801 004913213,1.687150,1.687450,0
20140801 004914963,1.687160,1.687460,0
20140801 004956963,1.687140,1.687440,0
20140801 004958463,1.687200,1.687500,0
20140801 004959213,1.687210,1.687510,0
20140801 005012213,1.687190,1.687490,0
20140801 005012463,1.687180,1.687480,0
20140801 005013463,1.687190,1.687490,0
20140801 005022963,1.687180,1.687480,0
20140801 005023963,1.687190,1.687490,0
20140801 005025713,1.687180,1.687480,0
20140801 005112713,1.687210,1.687510,0
20140801 005123710,1.687200,1.687500,0
20140801 005132197,1.687210,1.687510,0
20140801 005132710,1.687190,1.687490,0
20140801 005133210,1.687200,1.687500,0
20140801 005133460,1.687190,1.687490,0
20140801 005146460,1.687200,1.687500,0
20140801 005146960,1.687190,1.687490,0
20140801 005151710,1.687200,1.687500,0
20140801 005152460,1.687190,1.687490,0
20140801 005152710,1.687200,1.687500,0
20140801 005153210,1.687190,1.687490,0
20140801 005153960,1.687200,1.687500,0
20140801 005210210,1.687190,1.687490,0
20140801 005213460,1.687200,1.687500,0
20140801 005227460,1.687180,1.687480,0
20140801 005227710,1.687150,1.687450,0
20140801 005227960,1.687130,1.687430,0
20140801 005228210,1.687150,1.687450,0
20140801 005238960,1.687140,1.687440,0
20140801 005239960,1.687150,1.687450,0
20140801 005249460,1.687140,1.687440,0
20140801 005249960,1.687150,1.687450,0
20140801 005253460,1.687140,1.687440,0
20140801 005253710,1.687150,1.687450,0
20140801 005253960,1.687140,1.687440,0
20140801 005300460,1.687130,1.687430,0
20140801 005305710,1.687120,1.687420,0
20140801 005306460,1.687130,1.687430,0
20140801 005307460,1.687120,1.687420,0
20140801 005310710,1.687110,1.687410,0
20140801 005312710,1.687120,1.687420,0
20140801 005320197,1.687130,1.687430,0
20140801 005322197,1.687120,1.687420,0
20140801 005322447,1.687130,1.687430,0
20140801 005324197,1.687120,1.687420,0
20140801 005325197,1.687130,1.687430,0
20140801 005326197,1.687120,1.687420,0
20140801 005326697,1.687130,1.687430,0
20140801 005327697,1.687120,1.687420,0
20140801 005328197,1.687130,1.687430,0
20140801 005331697,1.687120,1.687420,0
20140801 005333697,1.687130,1.687430,0
20140801 005335197,1.687120,1.687420,0
20140801 005348447,1.687130,1.687430,0
20140801 005411960,1.687140,1.687440,0
20140801 005412960,1.687130,1.687430,0
20140801 005413960,1.687140,1.687440,0
20140801 005414197,1.687130,1.687430,0
20140801 005429697,1.687120,1.687420,0
20140801 005429960,1.687110,1.687410,0
20140801 005430197,1.687130,1.687430,0
20140801 005431197,1.687120,1.687420,0
20140801 005431447,1.687130,1.687430,0
20140801 005515960,1.687120,1.687420,0
20140801 005519443,1.687130,1.687430,0
20140801 005534210,1.687110,1.687410,0
20140801 005536710,1.687120,1.687420,0
20140801 005549710,1.687110,1.687410,0
20140801 005601460,1.687120,1.687420,0
20140801 005629710,1.687110,1.687410,0
20140801 005648210,1.687120,1.687420,0
20140801 005658960,1.687130,1.687430,0
20140801 005659960,1.687120,1.687420,0
20140801 005700210,1.687130,1.687430,0
20140801 005731443,1.687140,1.687440,0
20140801 005805210,1.687130,1.687430,0
20140801 005815960,1.687140,1.687440,0
